"NumberOfVehicles","AccidentDate","Time","FirstRoadClass","RoadSurface","LightingConditions","Daylight.Dark","WeatherConditions","TypeOfVehicle","CasualtyClass","CasualtySeverity","SexOfCasualty","AgeOfCasualty"
2,"28/11/2017",850,"U","Dry",1,"Daylight","Fine without high winds",3,1,3,1,27
2,"28/11/2017",1426,"A629","Dry",1,"Daylight","Fine without high winds",9,1,3,2,35
1,"28/11/2017",1535,"U","Wet ¨ Damp",1,"Daylight","Fine without high winds",9,3,3,1,6
1,"29/11/2017",1835,"U","Wet/Damp",4,"Dark","Fine without high winds",97,3,3,1,75
1,"30/11/2017",1635,"U","Wet/Damp",4,"Dark","Fine without high winds",9,3,3,1,10
2,"01/12/2017",1055,"A646","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,73
2,"01/12/2017",1700,"U","Dry",4,"Dark","Fine without high winds",9,1,3,1,44
2,"04/12/2017",850,"A58","Wet/Damp",1,"Daylight","Fine without high winds",9,2,2,1,12
2,"01/12/2017",1745,"M62","Dry",4,"Dark","Fine without high winds",9,1,3,1,60
2,"05/12/2017",1120,"A646","Dry",1,"Daylight","Fine without high winds",19,1,3,1,18
3,"06/12/2017",1357,"U","Dry",1,"Daylight","Fine without high winds",9,1,2,1,88
2,"07/12/2017",829,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,35
2,"08/12/2017",815,"U","Snow",1,"Daylight","Fine without high winds",9,1,3,2,67
2,"09/12/2017",1521,"U","Wet/Damp",1,"Daylight","Fine without high winds",9,2,3,2,50
1,"12/12/2017",820,"U","Wet/Damp",1,"Daylight","Fine without high winds",8,3,3,1,15
2,"12/12/2017",1200,"A641","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,83
1,"14/12/2017",521,"U","Frost/Ice",4,"Dark","Other",9,1,3,2,46
2,"13/12/2017",1325,"A629","Wet/Damp",1,"Daylight","Fine without high winds",8,1,3,1,36
1,"14/12/2017",1617,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,14
2,"15/12/2017",1446,"M62","Dry",1,"Daylight","Fine without high winds",9,1,3,2,58
2,"16/12/2017",1302,"M62","Frost/Ice",1,"Daylight","Fine without high winds",9,2,2,1,23
1,"18/12/2017",1410,"A672","Dry",1,"Daylight","Fine without high winds",9,1,3,1,67
1,"19/12/2017",1530,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,2,15
1,"21/12/2017",1815,"A6036","Wet/Damp",4,"Dark","Raining without high winds",11,3,1,1,49
2,"22/12/2017",818,"U","Wet/Damp",1,"Daylight","Fine without high winds",1,1,3,1,38
2,"24/12/2017",1930,"A6026","Wet/Damp",4,"Dark","Fine without high winds",9,1,2,1,72
2,"26/12/2017",1217,"A646","Dry",1,"Daylight","Fine without high winds",9,2,3,2,74
2,"27/12/2017",1859,"U","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,2,88
3,"27/12/2017",2053,"U","Wet/Damp",4,"Dark","Fine without high winds",9,1,2,2,31
1,"28/12/2017",1132,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,9
3,"28/12/2017",2020,"A58","Frost/Ice",4,"Dark","Fine without high winds",9,1,2,1,24
2,"31/12/2017",1331,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,28
1,"01/01/2016",52,"A","Wet/Damp",4,"Dark","Fine without high winds",8,3,3,1,27
1,"01/01/2016",1204,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,87
2,"01/01/2016",1400,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,23
1,"02/01/2016",1630,"A","Wet/Damp",4,"Dark","Raining without high winds",9,3,3,2,65
2,"03/01/2016",1700,"A","Wet/Damp",4,"Dark","Raining without high winds",1,1,3,1,24
2,"06/01/2016",734,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",3,1,3,1,26
2,"06/01/2016",950,"A","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,82
2,"06/01/2016",950,"A","Wet/Damp",1,"Daylight","Fine without high winds",21,1,3,1,32
2,"07/01/2016",846,"A","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,25
1,"07/01/2016",1600,"A","dry",1,"Daylight","Fine without high winds",9,3,3,1,34
1,"08/01/2016",1200,"A","dry",1,"Daylight","Fine without high winds",19,3,3,2,36
1,"13/01/2016",1856,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",2,1,2,1,27
2,"14/01/2016",831,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,63
2,"14/01/2016",1320,"A","dry",1,"Daylight","Fine without high winds",1,1,1,1,55
1,"15/01/2016",1202,"A","dry",1,"Daylight","Fine without high winds",21,3,2,2,87
2,"15/01/2016",1536,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,29
1,"16/01/2016",1310,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,60
1,"16/01/2016",2054,"Unclassified","Snow",4,"Dark","Snowing without high winds",8,2,3,2,29
1,"16/01/2016",2101,"motorway","Snow",4,"Dark","Snowing without high winds",9,1,3,2,18
2,"18/01/2016",1635,"Unclassified","dry",4,"Dark","Unknown",9,1,3,1,23
1,"20/01/2016",911,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,3,3,2,33
1,"22/01/2016",900,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",8,2,3,1,16
1,"22/01/2016",900,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",8,2,3,2,11
1,"22/01/2016",900,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",8,2,3,1,12
2,"22/01/2016",915,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,47
2,"25/01/2016",1410,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,30
1,"26/01/2016",1533,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,3,3,1,25
1,"26/01/2016",1708,"Unclassified","Wet/Damp",4,"Dark","Raining with high winds",9,3,3,1,49
2,"27/01/2016",1728,"Unclassified","Wet/Damp",4,"Dark","Raining with high winds",3,1,3,1,27
2,"28/01/2016",2050,"Unclassified","dry",4,"Dark","Unknown",9,1,3,2,20
1,"30/01/2016",1515,"Unclassified","dry",1,"Daylight","Unknown",9,3,3,2,66
1,"30/01/2016",2331,"motorway","Snow",4,"Dark","Snowing with high winds",9,2,3,2,31
2,"31/01/2016",1455,"A","Wet/Damp",1,"Daylight","Fine without high winds",9,3,3,2,16
2,"02/02/2016",830,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,55
1,"04/02/2016",1636,"A","dry",1,"Daylight","Unknown",9,3,3,2,5
1,"06/02/2016",1325,"A","Wet/Damp",1,"Daylight","Raining with high winds",9,1,3,2,55
2,"27/01/2016",1624,"motorway","dry",4,"Dark","Unknown",9,1,3,2,55
2,"08/02/2016",1430,"A","Wet/Damp",1,"Daylight","Raining without high winds",1,1,3,1,55
1,"09/02/2016",1618,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",3,1,3,1,19
3,"09/02/2016",1934,"A","Wet/Damp",4,"Dark","Fine without high winds",9,1,2,1,54
1,"10/02/2016",1402,"A","dry",1,"Daylight","Unknown",9,3,3,1,50
1,"11/02/2016",645,"A","Frost/Ice",4,"Dark","Fine without high winds",9,1,3,1,21
2,"11/02/2016",1910,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,3,1,26
1,"15/02/2016",1150,"A","dry",1,"Daylight","Fine without high winds",9,3,3,2,13
2,"16/02/2016",900,"A","dry",1,"Daylight","Fine without high winds",19,1,3,1,74
1,"16/02/2016",2110,"A","Wet/Damp",5,"Dark","Raining without high winds",9,1,3,1,18
5,"18/02/2016",1028,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,26
5,"18/02/2016",1028,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,37
5,"18/02/2016",1028,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,36
5,"18/02/2016",1028,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,34
2,"19/02/2016",1625,"B","Wet/Damp",1,"Daylight","Raining without high winds",1,1,3,1,24
2,"19/02/2016",2100,"A","Wet/Damp",4,"Dark","Raining without high winds",9,1,3,2,33
2,"20/02/2016",1530,"B","dry",1,"Daylight","Fine without high winds",9,1,2,2,46
2,"20/02/2016",1530,"B","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,32
2,"20/02/2016",2004,"A","Wet/Damp",4,"Dark","Fine without high winds",8,1,3,1,36
2,"20/02/2016",2004,"A","Wet/Damp",4,"Dark","Fine without high winds",9,1,2,2,19
2,"20/02/2016",1550,"A","Wet/Damp",1,"Daylight","Raining with high winds",9,1,3,2,30
3,"22/02/2016",700,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,41
3,"22/02/2016",700,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",9,2,3,1,60
3,"22/02/2016",750,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,7
3,"22/02/2016",750,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,9
2,"22/02/2016",1129,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,44
1,"22/02/2016",1710,"Unclassified","dry",1,"Daylight","Fine without high winds",5,1,2,1,41
1,"22/02/2016",1320,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,29
2,"24/02/2016",1805,"Unclassified","dry",4,"Dark","Fine without high winds",1,1,3,2,45
2,"24/02/2016",1157,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,35
1,"24/02/2016",1337,"A","dry",1,"Daylight","Fine without high winds",9,3,3,1,29
1,"25/02/2016",1550,"A","dry",1,"Daylight","Fine without high winds",9,3,3,1,3
2,"25/02/2016",1720,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,41
2,"27/02/2016",1950,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,19
2,"27/02/2016",1950,"A","dry",4,"Dark","Fine without high winds",9,2,3,1,70
2,"27/02/2016",1950,"A","dry",4,"Dark","Fine without high winds",9,2,3,2,18
2,"27/02/2016",1950,"A","dry",4,"Dark","Fine without high winds",9,1,3,2,55
1,"29/02/2016",715,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,19
1,"29/02/2016",715,"A","dry",1,"Daylight","Fine without high winds",9,2,2,2,23
1,"28/02/2016",1345,"A","dry",1,"Daylight","Fine without high winds",5,1,3,1,51
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,2,2,1,4
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,1,23
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,1,53
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,1,11
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,2,52
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,1,12
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,35
3,"01/03/2016",1540,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,2,6
1,"02/03/2016",542,"A","Snow",4,"Dark","Snowing with high winds",9,1,3,1,47
1,"02/03/2016",905,"Unclassified","Snow",1,"Daylight","Snowing without high winds",9,1,3,2,48
2,"02/03/2016",1250,"Unclassified","dry",1,"Daylight","Unknown",9,1,3,1,23
3,"02/03/2016",1620,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,51
3,"02/03/2016",1727,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",19,1,3,1,39
3,"02/03/2016",1727,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,35
2,"02/03/2016",1725,"Unclassified","dry",1,"Daylight","Unknown",9,1,3,2,19
2,"02/03/2016",1725,"Unclassified","dry",1,"Daylight","Unknown",9,2,3,2,21
1,"04/03/2016",958,"Unclassified","Snow",1,"Daylight","Snowing without high winds",9,1,3,1,57
2,"04/03/2016",800,"A","Snow",1,"Daylight","Snowing without high winds",1,1,3,2,36
2,"04/03/2016",1500,"Unclassified","Snow",1,"Daylight","Snowing without high winds",9,1,3,2,40
1,"05/03/2016",1030,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,12
2,"06/03/2016",1923,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,1,25
1,"07/03/2016",904,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,67
2,"07/03/2016",1840,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,64
2,"07/03/2016",1840,"A","dry",1,"Daylight","Fine without high winds",20,1,3,1,57
2,"07/03/2016",1840,"A","dry",1,"Daylight","Fine without high winds",20,3,3,1,55
2,"07/03/2016",1642,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,33
1,"09/03/2016",1545,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,3,3,1,11
2,"10/03/2016",651,"Unclassified","dry",1,"Daylight","Unknown",9,1,3,1,48
1,"12/03/2016",1700,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,7
6,"13/03/2016",1048,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,25
6,"13/03/2016",1048,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,22
6,"13/03/2016",1048,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,21
2,"15/03/2016",759,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",19,1,3,1,34
1,"18/03/2016",600,"A","dry",1,"Daylight","Unknown",19,2,3,1,24
2,"18/03/2016",830,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,21
1,"19/03/2016",1107,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,26
2,"19/03/2016",1330,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,2,1,88
1,"19/03/2016",1727,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,24
1,"19/03/2016",1727,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,23
3,"19/03/2016",1856,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,1,72
3,"19/03/2016",1856,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,1,21
3,"19/03/2016",1856,"Unclassified","dry",4,"Dark","Fine without high winds",9,2,3,2,21
2,"21/03/2016",1655,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,3,1,41
3,"22/03/2016",1710,"A","dry",1,"Daylight","Fine without high winds",5,1,2,1,36
1,"22/03/2016",1730,"A","dry",1,"Daylight","Fine without high winds",9,3,3,1,7
2,"23/03/2016",1700,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,79
1,"24/03/2016",759,"Unclassified","Wet/Damp",1,"Daylight","Other",9,1,3,2,27
1,"24/03/2016",759,"Unclassified","Wet/Damp",1,"Daylight","Other",9,2,3,1,36
3,"24/03/2016",1025,"A","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,59
3,"24/03/2016",1025,"A","Wet/Damp",1,"Daylight","Fine without high winds",9,2,3,2,10
1,"24/03/2016",1555,"A","dry",1,"Daylight","Other",9,3,2,1,14
2,"24/03/2016",1827,"A","Wet/Damp",4,"Dark","Raining without high winds",4,1,3,1,49
2,"25/03/2016",715,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,50
1,"26/03/2016",1731,"motorway","Wet/Damp",1,"Daylight","Raining with high winds",9,1,3,2,33
1,"27/03/2016",1350,"motorway","Wet/Damp",1,"Daylight","Raining with high winds",9,2,3,2,26
3,"27/03/2016",1910,"A","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,39
3,"29/03/2016",845,"A","Wet/Damp",1,"Daylight","Snowing without high winds",9,1,3,1,36
2,"29/03/2016",600,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,35
2,"31/03/2016",930,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,35
2,"31/03/2016",930,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,35
1,"02/04/2016",550,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",9,3,3,1,36
1,"02/04/2016",1353,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,2,1,22
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,47
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,46
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,16
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,32
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,62
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,62
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,70
3,"02/04/2016",1610,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,70
1,"06/04/2016",2148,"Unclassified","Wet/Damp",5,"Dark","Raining without high winds",8,3,3,1,77
1,"08/04/2016",1030,"motorway","dry",1,"Daylight","Fine without high winds",21,1,3,1,49
1,"10/04/2016",1443,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,14
3,"10/04/2016",2122,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,32
1,"11/04/2016",1308,"A","dry",1,"Daylight","Fine without high winds",21,3,3,1,54
1,"11/04/2016",1604,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,4
1,"12/04/2016",1236,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,3,2,2,37
2,"12/04/2016",1620,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,44
2,"12/04/2016",1620,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,23
1,"12/04/2016",2104,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,2,2,1,19
1,"12/04/2016",2104,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,2,2,1,15
1,"12/04/2016",2104,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,2,2,1,25
2,"13/04/2016",1649,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,46
1,"13/04/2016",1700,"Unclassified","dry",1,"Daylight","Fine without high winds",5,1,1,1,46
2,"15/04/2016",1256,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,3,1,43
1,"14/04/2016",1515,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,4
2,"14/04/2016",1800,"B","dry",1,"Daylight","Fine without high winds",9,1,3,2,25
2,"15/04/2016",1505,"Unclassified","Wet/Damp",1,"Daylight","Fine without high winds",5,1,2,2,53
2,"15/04/2016",1800,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,50
1,"18/04/2016",2221,"Unclassified","dry",4,"Dark","Fine without high winds",9,3,3,2,55
2,"19/04/2016",800,"Unclassified","dry",1,"Daylight","Fine without high winds",3,1,2,2,21
4,"19/04/2016",1136,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,26
4,"19/04/2016",1136,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,38
2,"20/04/2016",910,"A","dry",1,"Daylight","Fine without high winds",5,1,2,1,74
4,"20/04/2016",1525,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,37
4,"20/04/2016",1525,"Unclassified","dry",1,"Daylight","Fine without high winds",8,1,3,1,45
4,"20/04/2016",1525,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,51
4,"20/04/2016",1525,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,24
3,"21/04/2016",2244,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,34
3,"21/04/2016",2244,"A","dry",4,"Dark","Fine without high winds",9,2,3,1,20
2,"22/04/2016",811,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,57
2,"22/04/2016",811,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,62
2,"22/04/2016",1258,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,41
2,"23/04/2016",130,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,23
2,"23/04/2016",130,"A","dry",4,"Dark","Fine without high winds",8,1,3,1,40
2,"17/04/2016",1730,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,2,51
2,"25/04/2016",610,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,37
2,"25/04/2016",1736,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,27
2,"25/04/2016",1736,"motorway","Wet/Damp",1,"Daylight","Fine without high winds",20,1,3,1,31
2,"25/04/2016",1730,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,59
1,"26/04/2016",1545,"B","dry",1,"Daylight","Fine without high winds",9,3,3,1,14
3,"28/04/2016",2104,"Unclassified","dry",4,"Dark","Fine without high winds",9,3,3,1,60
2,"30/04/2016",718,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,30
1,"30/04/2016",1205,"A","dry",1,"Daylight","Fine without high winds",9,3,3,1,51
2,"30/04/2016",1925,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,54
1,"30/04/2016",1230,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,43
2,"01/05/2016",2239,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,2,26
2,"03/05/2016",1126,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,1,29
1,"03/05/2016",1725,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,2,1,11
3,"04/05/2016",743,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,2,31
3,"04/05/2016",743,"motorway","dry",1,"Daylight","Fine without high winds",9,1,3,2,22
1,"05/05/2016",756,"A","dry",1,"Daylight","Fine without high winds",5,3,3,2,25
1,"05/05/2016",756,"A","dry",1,"Daylight","Fine without high winds",5,1,3,1,24
1,"05/05/2016",756,"A","dry",1,"Daylight","Fine without high winds",5,2,3,2,22
2,"05/05/2016",1700,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,24
2,"06/05/2016",1418,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,27
2,"06/05/2016",1230,"B","dry",1,"Daylight","Fine without high winds",9,3,3,2,40
2,"08/05/2016",1202,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,30
1,"10/05/2016",1515,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,2,6
2,"10/05/2016",1720,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",1,1,3,1,40
2,"10/05/2016",1345,"Unclassified","dry",1,"Daylight","Fine without high winds",5,1,3,1,50
3,"11/05/2016",904,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,79
3,"11/05/2016",904,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,73
4,"12/05/2016",705,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,64
4,"12/05/2016",705,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,55
1,"13/05/2016",1555,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,2,1,20
1,"13/05/2016",2000,"Unclassified","dry",1,"Daylight","Fine without high winds",2,1,3,1,19
2,"14/05/2016",951,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,24
2,"14/05/2016",1438,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,24
2,"14/05/2016",1438,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,42
2,"14/05/2016",1420,"A","dry",1,"Daylight","Fine without high winds",9,2,3,1,9
2,"14/05/2016",1420,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,32
2,"14/05/2016",1420,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,11
1,"14/05/2016",1905,"A","dry",1,"Daylight","Fine without high winds",19,3,3,2,32
2,"15/05/2016",855,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,48
2,"15/05/2016",855,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,20
2,"16/05/2016",1735,"A","dry",1,"Daylight","Fine without high winds",5,1,3,1,57
2,"16/05/2016",2000,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,13
2,"16/05/2016",2314,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,83
2,"16/05/2016",2314,"A","dry",4,"Dark","Fine without high winds",9,2,3,1,79
2,"16/05/2016",2314,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,34
2,"17/05/2016",1209,"Unclassified","dry",1,"Daylight","Fine without high winds",19,1,3,2,31
2,"17/05/2016",1209,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,1,42
1,"14/05/2016",1645,"Unclassified","dry",1,"Daylight","Fine without high winds",9,3,3,1,35
3,"17/05/2016",1810,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,19
3,"17/05/2016",1810,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,1,62
2,"19/05/2016",1400,"Unclassified","dry",1,"Daylight","Fine without high winds",9,2,3,1,1
2,"19/05/2016",1400,"Unclassified","dry",1,"Daylight","Fine without high winds",9,1,3,2,52
1,"19/05/2016",2149,"Unclassified","dry",4,"Dark","Fine without high winds",9,3,3,2,45
1,"19/05/2016",2149,"Unclassified","dry",4,"Dark","Fine without high winds",9,1,3,2,26
1,"20/05/2016",230,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,3,3,2,23
1,"20/05/2016",230,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,3,3,2,24
1,"20/05/2016",230,"Unclassified","Wet/Damp",4,"Dark","Fine without high winds",9,3,3,1,25
1,"21/05/2016",210,"A","Wet/Damp",4,"Dark","Raining without high winds",9,1,2,1,20
1,"21/05/2016",210,"A","Wet/Damp",4,"Dark","Raining without high winds",9,2,3,1,21
1,"21/05/2016",210,"A","Wet/Damp",4,"Dark","Raining without high winds",9,2,3,1,25
2,"21/05/2016",2108,"B","Wet/Damp",4,"Dark","Raining without high winds",9,2,3,2,19
2,"21/05/2016",2108,"B","Wet/Damp",4,"Dark","Raining without high winds",9,1,2,2,40
1,"22/05/2016",2045,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,18
1,"22/05/2016",2045,"A","dry",4,"Dark","Fine without high winds",9,2,3,2,16
2,"23/05/2016",1435,"motorway","dry",1,"Daylight","Fine without high winds",9,2,2,2,74
2,"23/05/2016",1720,"Unclassified","dry",1,"Daylight","Fine without high winds",1,1,3,1,44
2,"24/05/2016",1428,"A","dry",1,"Daylight","Fine without high winds",9,2,3,2,65
2,"24/05/2016",1428,"A","dry",1,"Daylight","Fine without high winds",9,1,3,2,68
2,"24/05/2016",1428,"A","dry",1,"Daylight","Fine without high winds",9,1,3,1,46
2,"24/05/2016",2022,"A","dry",1,"Daylight","Fine without high winds",1,1,3,2,65
1,"26/05/2016",1155,"A","Wet/Damp",1,"Daylight","Raining without high winds",8,3,3,2,75
1,"26/05/2016",1632,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",2,1,2,1,20
1,"26/05/2016",1720,"Unclassified","Wet/Damp",1,"Daylight","Raining without high winds",9,3,3,1,8
2,"27/05/2016",2345,"A","dry",4,"Dark","Fine without high winds",9,1,3,1,45
2,"27/05/2016",2345,"A","dry",4,"Dark","Fine without high winds",9,2,3,2,45
3,"28/05/2016",1016,"A","dry",1,"Daylight","Fine without high winds",1,1,3,1,26
