"NumberOfVehicles","AccidentDate","Time","FirstRoadClass","RoadSurface","LightingConditions","Daylight.Dark","WeatherConditions","TypeOfVehicle","CasualtyClass","CasualtySeverity","SexOfCasualty","AgeOfCasualty"
2,"23/03/2017",900,"A644","Dry",1,"Daylight","Fine without high winds",9,1,3,1,46
2,"25/03/2017",1855,"A629","Dry",4,"Dark","Fine without high winds",9,2,3,1,3
2,"29/03/2017",805,"M62","Dry",1,"Daylight","Fine without high winds",9,1,3,1,25
2,"30/03/2017",444,"A641","Wet/Damp",4,"Dark","Fine without high winds",19,1,3,1,29
1,"01/04/2017",1820,"U","Dry",7,"Dark","Fine without high winds",9,3,3,1,2
3,"03/04/2017",1315,"A646","Dry",1,"Daylight","Fine without high winds",9,1,2,2,48
1,"04/04/2017",840,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,9
2,"05/04/2017",1913,"A672","Dry",7,"Dark","Fine without high winds",9,1,3,1,34
1,"07/04/2017",22,"M62","Dry",4,"Dark","Fine without high winds",10,1,3,1,52
1,"07/04/2017",1317,"U","Dry",1,"Daylight","Fine without high winds",9,2,3,2,9
2,"07/04/2017",0,"B6113","Dry",4,"Dark","Fine without high winds",9,1,3,1,68
1,"08/04/2017",26,"U","Dry",4,"Dark","Fine without high winds",9,1,2,1,26
1,"08/04/2017",1320,"A641","Dry",1,"Daylight","Fine without high winds",5,1,3,2,35
2,"09/04/2017",2142,"U","Dry",4,"Dark","Fine without high winds",9,1,3,1,18
2,"31/03/2017",1130,"A641","Dry",1,"Daylight","Fine without high winds",9,2,3,2,63
2,"11/04/2017",1356,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,45
1,"11/04/2017",1610,"U","Dry",1,"Daylight","Fine without high winds",11,3,3,1,23
3,"11/04/2017",1535,"M62","Dry",1,"Daylight","Fine without high winds",19,1,3,1,29
1,"13/04/2017",1614,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,47
2,"13/04/2017",2125,"U","Dry",4,"Dark","Fine without high winds",9,1,3,1,42
1,"21/04/2017",1325,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,2,46
1,"23/04/2017",1232,"M62","Dry",1,"Daylight","Fine without high winds",9,1,2,2,58
2,"23/04/2017",1835,"U","Dry",7,"Dark","Fine without high winds",9,1,3,1,5
2,"25/04/2017",1700,"U","Wet/Damp",7,"Dark","Fine without high winds",9,1,3,1,29
3,"25/04/2017",1755,"M62","Dry",7,"Dark","Fine without high winds",19,1,3,2,29
2,"25/04/2017",1705,"U","Wet/Damp",7,"Dark","Raining without high winds",8,2,3,2,17
2,"26/04/2017",605,"U","Dry",7,"Dark","Fine without high winds",1,1,3,1,25
2,"27/04/2017",734,"A629(M)","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,33
2,"27/04/2017",1720,"U","Dry",7,"Dark","Fine without high winds",9,1,3,1,23
1,"28/04/2017",943,"M62","Dry",1,"Daylight","Fine without high winds",9,1,3,1,59
2,"28/04/2017",1600,"A58","Dry",1,"Daylight","Fine without high winds",9,1,3,1,39
2,"28/04/2017",1446,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,20
2,"06/05/2017",1949,"U","Dry",7,"Dark","Fine without high winds",1,1,3,1,14
2,"09/05/2017",1540,"U","Dry",1,"Daylight","Fine without high winds",3,1,3,1,18
2,"09/05/2017",1740,"A643","Dry",7,"Dark","Fine without high winds",1,1,2,1,21
3,"12/05/2017",900,"A629","Dry",1,"Daylight","Fine without high winds",8,1,3,2,25
1,"12/05/2017",1515,"A629","Wet/Damp",1,"Daylight","Fine without high winds",9,3,3,2,33
2,"13/05/2017",1701,"U","Dry",7,"Dark","Fine without high winds",9,1,2,1,17
2,"20/05/2017",932,"A641","Dry",1,"Daylight","Fine without high winds",9,1,3,1,78
1,"22/05/2017",1930,"U","Dry",7,"Dark","Fine without high winds",9,3,2,1,2
2,"24/05/2017",735,"A58","Dry",1,"Daylight","Fine without high winds",9,1,3,1,44
1,"23/05/2017",1230,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,2,29
2,"24/05/2017",1933,"U","Dry",7,"Dark","Fine without high winds",9,1,3,1,22
2,"25/05/2017",640,"A58","Dry",7,"Dark","Fine without high winds",9,1,2,1,40
2,"15/05/2017",1515,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,23
1,"22/05/2017",1230,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,75
1,"28/05/2017",700,"U","Dry",7,"Dark","Fine without high winds",9,2,3,1,36
2,"30/05/2017",1809,"B6112","Dry",7,"Dark","Fine without high winds",9,1,3,1,58
2,"31/05/2017",1933,"U","Dry",7,"Dark","Fine without high winds",9,1,3,1,39
1,"01/06/2017",213,"U","Dry",4,"Dark","Fine without high winds",9,3,2,1,36
2,"03/06/2017",1345,"U","Dry",1,"Daylight","Fine without high winds",9,3,2,2,6
1,"03/06/2017",1805,"U","Dry",7,"Dark","Fine without high winds",8,2,3,2,44
2,"05/06/2017",900,"U","Wet/Damp",1,"Daylight","Raining without high winds",21,1,3,1,18
1,"06/06/2017",1430,"M62","Wet/Damp",1,"Daylight","Raining with high winds",9,1,3,2,23
2,"06/06/2017",1453,"U","Dry",1,"Daylight","Raining with high winds",9,1,3,2,18
2,"25/05/2017",1210,"A641","Dry",1,"Daylight","Fine without high winds",9,1,3,1,75
1,"13/06/2017",1355,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,65
2,"13/06/2017",1628,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,63
4,"15/06/2017",1341,"M62","Dry",1,"Daylight","Fine without high winds",9,2,3,1,71
2,"16/06/2017",1630,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,84
3,"16/06/2017",2230,"B6113","Dry",4,"Dark","Fine without high winds",9,1,3,1,38
2,"19/06/2017",1630,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,71
2,"20/06/2017",713,"A643","Dry",7,"Dark","Fine without high winds",9,2,3,2,30
2,"20/06/2017",1600,"M62","Dry",1,"Daylight","Fine without high winds",9,1,3,2,38
